epoch,train_loss,val_loss,train_pixel_acc,val_pixel_acc,train_mean_acc,val_mean_acc,train_miou,val_miou
1,0.6983561906218528,0.34013293981552123,0.7779059673845768,0.8857275176048279,0.3829476368951836,0.5132700461847708,0.27557504470664446,0.3590028188469781
2,0.3124230509996414,0.2871356827020645,0.8919970512390136,0.8996207690238953,0.555714774573377,0.5882114175582925,0.3896258834417676,0.41148459935832465
3,0.27283884316682816,0.2619364911317825,0.9025035953521728,0.9048837399482728,0.604843580403831,0.62217902024587,0.432523887062125,0.4440001970343292
4,0.25273134976625444,0.24439849376678466,0.9078043121099472,0.9098751664161682,0.6260358047888924,0.6421657366553944,0.4567500212100761,0.45716445392618577
5,0.2392479471862316,0.2367439651489258,0.9113520723581314,0.9121744728088379,0.6427593152644111,0.636282973786195,0.4727885678135013,0.4683944504397612
6,0.2293626296520233,0.22867252588272094,0.9141111838817596,0.9143702459335327,0.6540018495389571,0.6560158734023571,0.4841560716884368,0.47848360403751333
7,0.22183216169476508,0.22323269486427308,0.9163961577415466,0.9158057403564454,0.6577696030649045,0.6531346315145494,0.4938172718868008,0.49499506392826637
8,0.21533253759145737,0.2189145129919052,0.9183217388391495,0.916959035396576,0.6705144197276485,0.6553115556637445,0.5038425738944594,0.4950896856561303
9,0.2117275968194008,0.2160684883594513,0.9192406392097473,0.9183015084266662,0.6739264148101209,0.6783853798111279,0.5077446069432578,0.48861640578756727
10,0.20742856219410896,0.21239315330982209,0.9207174181938171,0.9189440011978149,0.6828620132617654,0.6694759194056192,0.5159080178698061,0.4980031249361733
11,0.2041752152144909,0.21323124527931214,0.9217176991701126,0.9184946227073669,0.6840958595120656,0.6580992791553338,0.5193342220034298,0.5058140071791908
12,0.2017899799346924,0.20952662229537963,0.9224613553285599,0.9196403002738953,0.6880355263749758,0.6800493216514587,0.5241329804544028,0.5042312091464798
13,0.19893196135759353,0.2072718322277069,0.9233852529525757,0.9202084541320801,0.6952491380522648,0.6715491336087385,0.5280381035034467,0.5160276484504964
14,0.19619405776262283,0.20752195417881011,0.9243159639835358,0.9203060030937195,0.697460110938797,0.6696983055770397,0.5346498438933243,0.515436508040875
15,0.19371347963809968,0.2048356854915619,0.9252251505851745,0.9213285541534424,0.7029791751131416,0.678630923802654,0.5397194988525009,0.5235778278298677
16,0.19174681216478348,0.20363729536533356,0.9258143627643585,0.9215488815307618,0.7072615176687639,0.6748813656965892,0.5448384580931935,0.5219431731446335
17,0.19018827885389328,0.20252903521060944,0.9264634662866592,0.9225570297241211,0.709913130576412,0.6775824130574861,0.546332850440716,0.5208465465779106
18,0.1886373044550419,0.20127196967601776,0.9271112716197968,0.9226714324951172,0.712851826145003,0.6856649128844342,0.552093663145012,0.5238591707373658
19,0.18751872152090074,0.20201005101203917,0.9274662381410599,0.9222950506210327,0.7155540795127551,0.6793590845167636,0.5523766970929379,0.5304752612983186
20,0.1857111245393753,0.19917675316333772,0.9281838983297348,0.923413565158844,0.7162095163452126,0.682357341150443,0.557468671509996,0.5299037539772689
21,0.18474734231829643,0.19936033189296723,0.928580777645111,0.9236003041267395,0.7205096627150973,0.6894545270999273,0.5601027681049892,0.529712114923944
22,0.18299668848514558,0.1992379242181778,0.929181478023529,0.9237012553215027,0.7235591897120076,0.6859929052988686,0.563057423987581,0.5312026325737436
23,0.1822313994169235,0.19837846338748932,0.9295094060897827,0.9238780260086059,0.7243095529079436,0.6852048715452352,0.5646414912026374,0.5344974718429149
24,0.18098213359713555,0.1973068779706955,0.9300228375196457,0.924174382686615,0.7243923090522487,0.6915910118321578,0.5682767704501749,0.5389080546920496
25,0.18071387931704522,0.1986725163459778,0.9301520359516143,0.9235312986373901,0.7260921555400516,0.6906148043274879,0.5697726467065514,0.5352145752186576
26,0.1787314248085022,0.19690456926822664,0.9308911556005478,0.9243873357772827,0.7338365380465988,0.6933129767576852,0.5739251780121896,0.5368230615369975
27,0.17799674540758134,0.1977311486005783,0.9311308228969574,0.9243010401725769,0.7267961095583931,0.6921678085128466,0.573150636025627,0.5378015140661349
28,0.17753270998597145,0.19681520879268646,0.9313578796386719,0.9247171235084534,0.7309234815152985,0.6915506209929785,0.5762348134505255,0.5382707263684522
29,0.17602955892682076,0.19662210643291472,0.9319409853219986,0.9244882798194886,0.7322579304718722,0.6868960751096407,0.5813804828429905,0.5392920208225648
30,0.17555319383740425,0.19675687253475188,0.9320075488090516,0.9246663522720336,0.7387395082600418,0.6936004475255808,0.5821673257629545,0.5390339347192397
31,0.17448822513222695,0.19672570049762725,0.9325195246934891,0.9245061159133912,0.7350267759586372,0.675450984351337,0.5832752481960535,0.5443870205758139
32,0.17421816393733025,0.19612534046173097,0.9325895071029663,0.925123450756073,0.7370962811571856,0.6987140635276835,0.5856664804671893,0.5361952069293088
