epoch,train_loss,val_loss,train_pixel_acc,val_pixel_acc,train_mean_acc,val_mean_acc,train_miou,val_miou
1,0.7264721247553826,0.29770857870578765,0.7648923985660077,0.9013434982299805,0.36411659937865587,0.4979668439212644,0.262896951679329,0.3660471657702389
2,0.25819810494780543,0.22330526351928712,0.9112994331121445,0.9220428419113159,0.6008551793390262,0.6620952320595582,0.4235314158999244,0.4663448407349642
3,0.19896150320768358,0.18724619209766388,0.9294103044271469,0.9332565689086914,0.6921811036330955,0.7060678671300412,0.5183599775560046,0.534091296341891
4,0.1689389519393444,0.1635461539030075,0.9388962829113007,0.9402034115791321,0.7357482245409243,0.7177247149745624,0.5734522811841453,0.5828059473788986
5,0.15024635151028634,0.15121802508831025,0.9446210110187531,0.944661374092102,0.7579409848898646,0.7726817328731221,0.6051529216979786,0.5854249887168408
6,0.1389075718075037,0.14156447649002074,0.9482195633649826,0.947425639629364,0.7707737391690415,0.7708139826854069,0.6271921168438469,0.6118711971429487
7,0.12921092756092548,0.1320839300751686,0.9513381695747376,0.950495285987854,0.7824942576140166,0.7686239044368267,0.646429990231991,0.634057866005848
8,0.12243830189108848,0.13093699038028717,0.953480054140091,0.9506040596961975,0.7919325088088713,0.7755705882112184,0.6626284338367014,0.6411571887290726
9,0.11621592603623868,0.12423284888267518,0.9555233144760131,0.9529787015914917,0.7994211055897176,0.78277515232563,0.6747273989270128,0.6518277640640736
10,0.11034602642059327,0.12182743042707443,0.957489902973175,0.9537808752059936,0.8076231045400103,0.7774843224883079,0.6878740051307247,0.658832318931818
11,0.10745137080550193,0.11753873646259308,0.9584064751863479,0.955032410621643,0.8136167751749356,0.7777273683746657,0.6946636138588658,0.6684894794194648
12,0.10468911074101925,0.11985718697309494,0.9593402022123336,0.9543849992752075,0.8190149878462154,0.7831515384962161,0.7030512346536854,0.6621687769455213
13,0.10226143985986709,0.11413433521986008,0.9602359372377396,0.9564709043502808,0.8204624684962133,0.7990366988380748,0.7080878613470124,0.6731548489568135
14,0.0981601558625698,0.11540134966373444,0.9616469311714172,0.9561666250228882,0.8305534718930722,0.8045390351613361,0.7191007931014367,0.6728959269014497
15,0.09643808700144291,0.112713143825531,0.9622069972753525,0.9570053696632386,0.8325610493496065,0.8086802288889885,0.7232259053647673,0.6732171405727664
16,0.0948318450897932,0.11151432543992996,0.9627933639287949,0.957459716796875,0.8317764355490606,0.8013923776646454,0.7267165201265986,0.680997511840736
17,0.9620992163568736,0.5736119556427002,0.7302675314247609,0.7979073977470398,0.38666151448561625,0.33368118241429323,0.28616978014008054,0.24058500511976796
18,0.5102261573076248,0.45506383895874025,0.827408292889595,0.8465906286239624,0.38663499987839417,0.41819990629330284,0.278356590421269,0.2984513473127542
19,0.39410201370716097,0.332680526971817,0.8714177024364471,0.8890240168571473,0.4409624335262923,0.46994450167442375,0.3275763837614977,0.34994454146149406
20,0.3148809054493904,0.28401907324790954,0.894709165096283,0.9024745202064515,0.5161156471896294,0.5584115482494235,0.369759314603519,0.39420040130741346
21,0.2759446743130684,0.25942216217517855,0.9058495390415192,0.9109219408035278,0.5856910552534587,0.5918694462502996,0.4060904398544881,0.4278295833437975
